temperature,humidity,wind_speed,solar_radiation,building_size,insulation_rating,occupancy,hour_of_day,day_of_week,target
9.143693966994388,66.04665312945025,11.142473753059283,7.017448138869824,705.2741877307577,8.41643668216502,22,21,0,96.99205995449333
29.973454465835857,65.73401369525885,4.9660720416462185,9.02448974232052,562.9563119416683,1.8329209891463978,17,10,3,95.06367907947454
22.82978498051992,48.372808732145856,6.086725556417544,4.377808264849665,227.89721869975676,2.4774126915434986,29,12,6,85.7230383391938
4.93705286081908,35.00215319656967,10.69499045259979,9.52528934141587,731.1966508822956,7.670946892012444,24,9,1,130.12037559283107
14.213997480314635,54.7853438505057,11.346727359467554,3.279488708059332,428.50332737506494,9.531659342525064,17,13,3,69.00516757125395
36.51436537097151,47.864484833665884,2.30000957458393,15.949779602508794,903.8076048200273,8.715739103509204,28,19,5,113.86501959532286
-4.266792433930743,64.18244934565648,4.39548662245276,5.318030668294799,114.00703721481096,7.474381059808365,29,18,4,138.81885440140246
15.710873711438229,43.38826490260409,2.583765404809897,2.7437993564465146,425.0814077798015,2.040970822175029,19,20,5,69.85493542834702
32.65936258705534,43.42210783897795,4.178121631806871,5.003786367618856,443.53748005635777,9.949251326328538,26,6,1,91.46774265932002
11.332595977348983,49.50935944060716,14.167676301228116,9.691998585809234,654.6824201669749,5.599733138486102,14,13,4,95.68364937166758
13.211138483779457,40.39946957658966,24.9261649084833,15.589145580593897,625.7198308947328,9.587848803405945,21,2,5,52.48788141921974
19.052910310631088,54.12064566794956,3.1906622661424655,8.107878965394464,734.1554622866568,3.188429214446606,22,22,0,100.01318456316483
34.91389626124288,79.44103205177643,0.33364438333584856,12.831738227619034,973.9129525028892,2.6707812637273003,18,19,5,119.51099420708124
13.61098003315349,81.1202630511992,16.0870275703421,13.591957882046726,899.1202589087243,8.508564278856161,19,4,3,89.8626737076687
15.560180403539345,36.49482357465391,0.6306375610462865,5.213336884881681,344.6867709298606,4.125442867171558,11,4,1,53.383947924766346
15.656487243814826,49.84380846499557,0.12347400881715004,5.628838028150926,389.88641595801533,4.4320485881108205,30,3,1,98.11622949914235
42.05930082725456,66.79272510675345,5.996989495406425,7.039475651652479,399.0344008231544,2.241775968655701,19,11,0,123.578899606256
41.86786088973787,43.61691034200595,9.454949800098873,4.978342099943589,850.9817869664435,8.644704650363945,14,17,5,103.15585366889891
30.04053897878877,85.16861456707403,4.807216113964591,5.0229086602288895,101.04698997646796,6.256447150980298,13,21,1,59.66641864533305
23.86186399174856,72.39800220268546,4.502991488688704,11.426192611610894,184.82211072922354,3.6345257276321714,27,21,4,80.67074239611789
27.373685758962424,43.217396340446435,1.9919288100415986,1.1273667992884064,179.08631109167814,6.289107314725831,18,10,4,81.63655439814137
